PY_T00010	mRNA.RE00575
PY_T06085	mRNA.RE00889
PY_T10094	mRNA.RE00467
PY_T15167	mRNA.RE00536
PY_T16036	mRNA.RE00914
PY_T16039	mRNA.RE00886
PY_T16052	mRNA.RE00887
PY_T16243	mRNA.RE00947
PY_T16245	mRNA.RE00864
PY_T20140	mRNA.RE00641
PY_T20171	mRNA.RE00466
PY_T20181	mRNA.RE00401
PY_T20204	mRNA.RE00491
PY_T20216	mRNA.RE00611
PY_T20749	mRNA.RE00984
PY_T24764	mRNA.RE00916
PY_T24820	mRNA.RE00413
PY_T24829	mRNA.RE00924
PY_T24831	mRNA.RE00846
PY_T24849	mRNA.RE00657
PY_T24873	mRNA.RE00396
PY_T24881	mRNA.RE00144
PY_T24890	mRNA.RE00206
PY_T24893	mRNA.RE00431
PY_T24962	mRNA.RE00881
PY_T25015	mRNA.RE00275
PY_T25037	mRNA.RE00790
PY_T25262	mRNA.RE00516
PY_T25386	mRNA.RE00955
PY_T25470	mRNA.RE00671
PY_T25529	mRNA.RE00478
PY_T25635	mRNA.RE00251
PY_T25695	mRNA.RE00692
PY_T25771	mRNA.RE00573
PY_T25776	mRNA.RE00690
PY_T25975	mRNA.RE00052
PY_T26037	mRNA.RE00674
PY_T26054	mRNA.RE00451
PY_T26074	mRNA.RE00335
PY_T26191	mRNA.RE00526
PY_T26197	mRNA.RE00018
PY_T26227	mRNA.RE00952
PY_T26229	mRNA.RE00121
PY_T26260	mRNA.RE00905
PY_T26305	mRNA.RE00099
